id,Action
1,0.47748249720287966
2,0.4928773385432969
3,0.5122697238343527
4,0.5020291378873543
5,0.5058833784721313
6,0.5274372994207183
7,0.486891524349172
8,0.5194249624243049
9,0.4344345383672856
10,0.49803074007760595
11,0.4975117727840276
12,0.49355923298140475
13,0.4877371269553651
14,0.49721903397018957
15,0.5108919010901755
16,0.49930774486681245
17,0.48524640381095696
18,0.49785607928352354
19,0.500626298619249
20,0.3940141465464344
21,0.49885961925058064
22,0.5535962754736341
23,0.5123985863977757
24,0.49927849206162644
25,0.5088618885510366
26,0.6427379254482168
27,0.47264570428588176
28,0.49278891081843545
29,0.4898935620864703
30,0.48647238762794137
31,0.49547806819582557
32,0.5179936606301319
33,0.4975021756091187
34,0.48948197889234973
35,0.49414946312581876
36,0.49772804089880945
37,0.5150399780210735
38,0.541184281142752
39,0.47827309479330976
40,0.48699916775384006
41,0.433327507999228
42,0.5284759478957888
43,0.4816952584613328
44,0.5022746529521234
45,0.4984898310392835
46,0.5503175387850175
47,0.5033339307803022
48,0.4816117944746976
49,0.497589794894344
50,0.3001057071622672
51,0.5488790974683206
52,0.4954115174710559
53,0.495932794821438
54,0.4694482956940794
55,0.49033528436116314
56,0.4967309845429201
57,0.5088251085690848
58,0.4939246974761866
59,0.4832247242916041
60,0.4940375076374524
61,0.49531691255564586
62,0.49633134477302243
63,0.4822570363045982
64,0.5125214753450821
65,0.5085414195337247
66,0.5559471580355735
67,0.3076379588362949
68,0.5097947853120187
69,0.49755862152511027
70,0.4999647195711619
71,0.4127731982989334
72,0.5005065441875446
73,0.4959913796843334
74,0.4942584050697519
75,0.49598694889300765
76,0.5337541070367207
77,0.5082646049331604
78,0.4988855390622281
79,0.5060117919128154
80,0.5509046793453319
81,0.5101578642566579
82,0.4970936034975472
83,0.5381998401881257
84,0.49287078944770785
85,0.49376642505183277
86,0.48010652894060163
87,0.4938947400256803
88,0.5094135151347055
89,0.5068190145107315
90,0.51138513960964
91,0.5158410968639866
92,0.490000674148953
93,0.5185178082189624
94,0.497235502386302
95,0.5084677579975384
96,0.48520188083261356
97,0.49770905790814324
98,0.4851501878258336
99,0.5142413465287166
100,0.49665801208040333
101,0.5004119151396507
102,0.5558881717602983
103,0.4986284124715486
104,0.432207030787175
105,0.5005993938719846
106,0.5068904106336707
107,0.5118956000268622
108,0.4983932201770533
109,0.49001738293202196
110,0.49449858288683424
111,0.4929803174200061
112,0.4625123121313239
113,0.4972321600438772
114,0.510670492464202
115,0.488617606180485
116,0.4973476568841124
117,0.49539229050077105
118,0.4942870544991549
119,0.4989970796943854
120,0.48715324129637144
121,0.49806532480578514
122,0.3954226867693283
123,0.4933131862155221
124,0.5226871121549472
125,0.5180774085030466
126,0.497744164206824
